Video_ID,Channel_ID,Channel Name,Subscriber Count,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster,Channel_Weight
P2bdfCm-FmM,UC-1ZY8bY46rX3ySgG3Qyn3g,Dany Dev,428000.0,1.65,1.98,0.0,1.9,0.31,1.92,0.0,0.33,0.77,0.22,0.25,0.0,1.01,0.0,2.38,1.73,0.0,2.0,0.0005462361903967269
P314z2YufoI,UC59u71tLfhC3_tYIQNc_m3g,Ychelle AUS Life,4880.0,0.0,0.0,0.0,0.03,0.485,0.2799999999999999,0.415,1.13,0.795,0.64,0.0,0.0,0.275,0.0,0.765,0.42,0.0,1.0,0.0010924723807934538
P3fzx5GAXF0,UCPNBc7ZRwmgk1I6j_lenAfw,The Love Train Nation,23900.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,1.18,0.3,0.0,0.0,1.35,0.01,0.0,0.0,1.09,1.0,0.00010924723807934537
P5A9qJfvj7w,UCv4DCWW6mt16kixPUSysKKQ,Uhwo - Acm,967.0,1.615,0.05,1.075,1.495,0.0,0.0,0.485,0.56,0.04,0.185,0.43,0.0,0.475,0.0,0.785,0.215,0.295,1.0,0.0010924723807934538
P6yTSOL8aLA,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,1230000.0,0.6375,0.4225,0.47,2.1725,0.3725,1.19,0.25,0.4599999999999999,0.21,0.4925,0.7325,0.6475,1.345,0.2275,0.4149999999999999,0.36,0.2575,1.0,2.074314647076178e-05
P70Ukiqo7B0,UCoWQLZoPwn3mJ-oiPrwDpbA,Living abroad,163000.0,,,,,,,,,,,,,,,,,,,6.554834284760723e-05
P8L9mmLiESA,UCobYD8WgP3GPOqgvXF2Yy1w,Adam and Jane's Lifestyle,75500.0,0.8133333333333334,0.51,0.5499999999999999,0.7866666666666667,1.07,1.7766666666666666,0.5766666666666667,1.1333333333333333,1.0033333333333332,0.5299999999999999,0.4066666666666667,0.0,0.25,0.1233333333333333,0.7933333333333333,0.6266666666666666,0.1733333333333333,1.0,6.827952379959086e-05
P8bCngwMWRw,UCi9mzS8H-ez_30w5SCL2dmw,JREKML,1210000.0,,,,,,,,,,,,,,,,,,,6.827952379959086e-05
P9CZ7xCl4oQ,UCnOeTSQY_YmjxeY12y0xOPQ,Mars & Tobi,3620.0,,,,,,,,,,,,,,,,,,,0.0010924723807934538
P9Gox0bnrR4,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,205000.0,1.61,0.39,0.0,1.3,0.75,1.95,0.0,0.0,0.0,0.0,0.28,0.0,1.13,0.13,0.0,0.0,0.0,1.0,0.0002521090109523355
P9wpqcIWreA,UCpcVjkwSeZG6GJvLsIxK5Yw,Sol & Luna,88000.0,0.0,0.095,0.0,1.225,0.0,0.0,0.14,0.24,0.235,0.1649999999999999,0.0,0.0,0.13,0.0,0.0,0.415,0.37,1.0,0.0002341012244557401
PAyjxF2ZXaY,UC4uU4t50BHcaSmJ7_5JZWYA,Killermcknight,221000.0,0.73,0.45,0.475,0.0,1.1800000000000002,0.3249999999999999,0.905,1.975,0.735,2.375,0.465,1.04,0.55,0.0,0.53,0.0,0.54,0.0,0.0008193542855950903
PBYRzMuGXpA,UCLNoXf8gq6vhwsrYp-l0J-Q,Xiaomanyc 小马在纽约,6770000.0,1.2608333333333337,0.2341666666666666,0.485,0.5808333333333333,0.1491666666666666,0.4408333333333333,0.345,0.5975,0.4675,0.5341666666666667,0.6591666666666667,0.9608333333333334,0.6958333333333333,0.1066666666666666,0.3625,0.3866666666666667,0.1541666666666666,1.0,0.00021849447615869075
PBmhm4BKQV4,UCQQyW9Ki62OmGzHedws7xlQ,Bianca & Beyond,142000.0,0.83,0.0,0.165,1.545,0.0,0.0,0.0,0.02,0.04,0.19,0.755,0.295,0.0,0.52,0.06,1.245,0.0,1.0,0.00010241928569938629
PDh5AU4ciFk,UCHk-j6L93O3JrxhA87H0oWQ,On Tour With Dridgers #OTWD,109000.0,0.74,0.0,1.33,0.0,1.89,4.51,0.0,0.82,1.93,1.25,0.0,0.0,1.49,0.28,1.88,0.6,2.04,0.0,0.0008193542855950903
PEXN1KkEHcE,UCO5Jeark1e_JP36mY3ua19g,The Commodity,98300.0,0.89,0.24,0.0,0.565,0.6849999999999999,0.0,0.02,1.07,0.56,1.575,0.37,0.735,0.145,0.11,0.11,0.57,0.0,1.0,6.18380592901955e-05
PEYkAVCG5Ms,UC27C_HWo-UmKkdWGsRJZ8EA,Pailin's Kitchen,2190000.0,,,,,,,,,,,,,,,,,,,0.0010924723807934538
PFjydjyvjC8,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,1230000.0,0.35375,0.31875,0.88375,0.5225,0.05,0.33875,0.2025,0.285,0.2525,0.1875,0.3562499999999999,0.5025,0.3299999999999999,0.3075,0.15875,0.37375,0.17625,1.0,2.074314647076178e-05
PHG9_G5mbE4,UC94q2SvtH1HgBpYAhceLBpA,Indian Reacts,2140.0,0.17,0.13,0.0,1.36,0.24,0.0,0.0,1.68,1.33,1.49,1.19,0.0,0.22,0.0,1.18,1.92,0.16,1.0,0.0016387085711901807
PIt3K3wlN_M,UCRzBNJTsBe2rq6pkyXeaj1A,TriFate Lifestyle,161000.0,1.56,0.31,0.45,0.26,0.0,0.62,0.0,0.62,0.99,2.09,0.33,0.0,0.0,0.61,0.98,0.2,1.88,1.0,0.0001724956390726506
PKTfNRIN8zo,UCG57u0jfLpuPuCAHRUtTxdg,Blonde&Bass,113000.0,1.0266666666666666,0.82,0.0,0.89,1.2033333333333334,0.2166666666666666,0.1999999999999999,0.9133333333333334,2.056666666666666,1.0799999999999998,0.1466666666666667,0.0,0.48,0.31,1.1833333333333331,0.7666666666666666,0.0033333333333333,0.0,0.00032774171423803616
PKWN0Nj38HI,UC5NofLGyaa9Q6PHsxSgXM0Q,Lloyd & Mandy,120000.0,1.46,1.08,0.0,0.95,1.43,3.17,1.41,0.05,0.03,0.0,1.39,1.92,2.19,1.06,0.0,0.0,0.06,1.0,0.0008193542855950903
PLKqex8OQDo,UCdkq517IaeUcnG5CIiFX9RA,Shin Smith,36200.0,,,,,,,,,,,,,,,,,,,0.00010241928569938629
PLg-uI1I1CI,UCuBgQMllxvxKLuABHZlV5KA,RELL 🕺🏽,446000.0,0.992,0.264,0.49,1.234,0.6679999999999999,0.268,0.188,1.068,0.762,0.986,0.5640000000000001,0.302,0.0,0.046,0.518,0.128,0.774,1.0,0.00036415746026448456
PLrJYgv3NM8,UCkaZoLnf0cJu6Peegep7AHQ,RapidVisa,19800.0,,,,,,,,,,,,,,,,,,,0.0006554834284760723
PNC0dJzWO5c,UCMGEUVgOJ3jqLfvogNjOH3w,Always on a Journey,38800.0,0.32,0.0,1.67,0.73,1.96,1.46,0.03,1.9,2.13,0.93,0.0,0.0,0.02,0.16,1.26,0.04,0.22,0.0,0.0008193542855950903
PNZi-IysoRY,UCryJ4vhASeu7uhXRPOL3WhA,What's up Philippines,311000.0,,,,,,,,,,,,,,,,,,,2.621933713904289e-05
POVNYKLqOv8,UCxqV2u6alqV9QDzQsOwbiog,Teens REACT,1100000.0,,,,,,,,,,,,,,,,,,,0.0008193542855950903
PPeHtj9A9uA,UC40Y57rwt1rh221R_USlriQ,Surf and Turf Travel,3340.0,,,,,,,,,,,,,,,,,,,0.0016387085711901807
PQrjHAz6vDw,UCxBWeubuZrc8sQE_bXytgUQ,Justin & Alina,138000.0,0.8066666666666666,0.0,0.0166666666666666,0.0433333333333333,1.04,0.8033333333333332,0.0266666666666666,1.08,1.4333333333333331,0.1833333333333333,0.1366666666666666,0.11,0.2933333333333333,0.31,1.51,0.5133333333333333,0.11,1.0,0.00013655904759918172
PRvLZQfT2yE,UCo5IPeTfhzXzzNB64ALUSUw,The Demouchets REACT,182000.0,0.465,0.68,1.23,1.735,0.0,0.5549999999999999,0.095,0.0,0.0,0.0,0.44,1.02,0.325,0.04,1.645,0.525,0.0,1.0,0.00018207873013224228
PT1AOfiFcHg,UCF3l_ACuhzW5QRn--37Tu7A,Taglish Coles,28100.0,0.0,0.0,0.1033333333333333,0.0,1.0833333333333333,0.18,0.2466666666666666,1.1666666666666667,1.95,1.3233333333333337,0.0,0.0,0.3533333333333333,0.0,0.9533333333333336,0.5033333333333333,0.5399999999999999,0.0,0.0010924723807934538
PVEeScXdSVU,UC_DmOS_FBvO4H27U7X0OtRg,Fearless & Far,3030000.0,1.42,0.0,2.03,1.41,1.84,1.77,0.73,2.36,1.23,2.37,1.04,1.5,0.27,0.04,0.61,1.3,0.13,0.0,0.00032774171423803616
