Video_ID,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster,View Count,Like Count,Comment Count
aj6yPs9Z5sc,0.0,0.0,0.05,0.0,2.67,3.65,1.05,2.07,2.2,1.18,0.0,0.0,0.37,0.9,2.45,0.0,0.0,0,910,77,70
alFcZ3YZSig,0.41,0.0,0.59,0.5066666666666667,0.48,0.7733333333333333,1.2366666666666666,1.0166666666666666,0.5433333333333333,0.8099999999999999,1.4500000000000002,1.6666666666666667,0.0,0.0999999999999999,0.95,0.27,0.0,1,3437151,32098,6635
anOwLiXRa5w,0.0,0.0,0.24,0.14,1.565,2.095,1.105,2.45,1.89,2.005,0.015,0.0,0.435,0.0,2.685,0.3399999999999999,0.0,0,40010,1801,295
anSOkTr4ugk,0.0,0.0,0.305,0.06,0.0,0.0,0.26,0.035,0.675,0.115,0.47,0.7,0.0,0.25,0.0,0.0,0.21,1,4945,165,44
apd8JY86i4s,1.105,0.4,0.76,1.7950000000000002,0.285,1.085,0.895,0.675,0.225,0.0,1.48,0.42,0.0,0.36,0.0,0.715,0.0,1,1218,119,12
asVHaM9QXzQ,0.0,0.0,1.3,0.0,2.0,2.12,1.32,1.72,1.98,1.87,0.0,0.0,0.0,0.12,1.59,0.0,0.0,0,4728,334,88
ata_KjyCz4M,0.82,0.0,0.19,0.0,0.87,0.0,0.0,0.9,1.16,0.0,1.25,1.79,2.52,0.55,0.22,1.05,0.0,1,2182,79,3
auC65HEaRQI,0.605,0.36,0.3075,0.2274999999999999,2.2625,2.28,0.65,1.9725,2.14,0.8425,0.11,0.1,0.0,0.1,1.7925,0.03,0.1075,0,357937,12820,455
avVOKbL4dpI,0.445,0.0,0.0,0.205,1.08,2.295,0.375,0.65,0.83,0.77,0.79,0.67,0.375,0.445,0.42,0.185,0.4499999999999999,1,7932,534,88
b21dwnHHSig,0.365,0.0,0.0,0.57,2.7350000000000003,0.755,0.225,1.295,1.88,0.0,0.045,0.0,0.24,0.085,1.41,0.0,0.0,0,11742,1180,306
