Video_ID,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster
s6njeSpydbc,0.705,0.705,0.15,0.35,0.815,0.945,0.855,1.15,1.075,0.595,0.86,1.315,0.715,0.17,1.345,0.915,0.0,1
s6qypKUMctI,0.07,0.0,0.15,0.61,2.56,2.16,0.615,2.74,2.495,1.25,0.0,0.0,0.295,0.0,2.5,1.0,0.105,0
s826RP5rv5E,0.7224999999999999,0.5225,0.1525,0.81,0.4599999999999999,1.2174999999999998,0.1475,0.8025,0.6625,0.4025,0.3825,0.0,0.375,0.0,2.5875,1.4025,0.0075,1
s98azhtH3Dw,0.0,0.0,0.0,0.37,1.35,2.96,1.32,1.57,1.33,0.16,0.57,0.0,0.0,0.26,2.7,0.05,0.29,0
sATsGNBRD9k,1.525,2.595,0.0,4.21,0.0,0.055,0.0,0.0,0.465,0.335,0.0,0.02,0.005,0.07,1.565,1.225,0.0,2
sAiddfV6n0g,0.0,0.0,0.0,0.27,1.61,1.81,0.23,1.79,2.32,0.51,0.0,0.0,0.0,0.0,3.45,0.42,0.0,0
sBeunz-bOlA,1.96,0.28,0.0,1.27,0.0,1.82,0.58,0.0,0.0,0.0,1.82,0.6,0.0,0.01,0.39,1.91,0.0,1
sCaAOkdjzkU,0.76,0.0,0.0,0.36,0.9,0.0,0.0,0.29,0.32,0.0,1.31,2.09,0.0,0.0,0.0,0.0,0.62,1
sD7I3u5xxUo,1.89,2.38,0.0,4.48,1.02,0.43,0.0,1.06,1.78,0.55,0.0,0.0,0.0,0.0,2.32,1.59,0.0,2
sJtqUEZe5b0,0.624,0.0,0.52,0.5700000000000001,1.154,0.6900000000000001,0.294,0.642,1.672,0.702,0.204,0.504,0.44,0.1679999999999999,1.308,0.5980000000000001,0.212,1
